"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C2","1","220n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C4, C5","2","15n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","D1","1","LED","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",""
"5","IC1","1","L6203","L6203:MULTIWATT-11",""
"6","J1","1","PWR","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",""
"7","J2","1","PGM","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"8","J3","1","DOWN LIMIT","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
"9","J4","1","UP LIMIT","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
"10","J5","1","MOT","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"11","R1, R2, R3, R4, R5","5","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","R6","1","2K2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","R7, R8","2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"14","SW1","1","UP","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx39-2LFS",""
"15","SW2","1","DOWN","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx39-2LFS",""
"16","U1","1","3.3V","NopHead:TinyBuck",""
"17","U2","1","ESP-12F","RF_Module:ESP-12E",""
